Algorithm,File Type,Alphabet Size,Text Size,Pattern Size,Time
Naive Algorithm,DNA,4,1.6kb,8,0.0018241405487060547
Naive Algorithm,DNA,4,1.6kb,64,0.0019240379333496094
Naive Algorithm,DNA,4,1.6kb,256,0.0018379688262939453
Naive Algorithm,DNA,4,1.6kb,1024,0.0018229484558105469
Naive Algorithm,DNA,4,56.7kb,8,0.0645759105682373
Naive Algorithm,DNA,4,56.7kb,64,0.06599807739257812
Naive Algorithm,DNA,4,56.7kb,256,0.06881999969482422
Naive Algorithm,DNA,4,56.7kb,1024,0.06409502029418945
Naive Algorithm,DNA,4,180.4kb,8,0.20108389854431152
Naive Algorithm,DNA,4,180.4kb,64,0.20612788200378418
Naive Algorithm,DNA,4,180.4kb,256,0.21789193153381348
Naive Algorithm,DNA,4,180.4kb,1024,0.20168614387512207
Naive Algorithm,DNA,4,4.6Mb,8,5.568002939224243
Naive Algorithm,DNA,4,4.6Mb,64,5.546809911727905
Naive Algorithm,DNA,4,4.6Mb,256,5.465985059738159
Naive Algorithm,DNA,4,4.6Mb,1024,5.532005071640015
Naive Algorithm,English,90,1.2kb,3,0.0013780593872070312
Naive Algorithm,English,90,1.2kb,170,0.0012149810791015625
Naive Algorithm,English,90,4Mb,3,4.372299909591675
Naive Algorithm,English,90,4Mb,170,4.1028220653533936
Naive Algorithm,Spanish,106,64.5kb,2,0.06626391410827637
Naive Algorithm,Spanish,106,64.5kb,93,0.06519103050231934
Naive Algorithm,Spanish,106,2.2Mb,2,2.2484138011932373
Naive Algorithm,Spanish,106,2.2Mb,93,2.1938750743865967
Naive Algorithm,Random Numbers,10,1.5kb,2,0.001672983169555664
Naive Algorithm,Random Numbers,10,1.5kb,32,0.0016140937805175781
Naive Algorithm,Random Numbers,10,1.5kb,128,0.001653909683227539
Naive Algorithm,Random Numbers,10,1.5kb,1024,0.0016238689422607422
Naive Algorithm,Random Numbers,10,1Mb,2,1.0607569217681885
Naive Algorithm,Random Numbers,10,1Mb,32,1.0733060836791992
Naive Algorithm,Random Numbers,10,1Mb,128,1.0627450942993164
Naive Algorithm,Random Numbers,10,1Mb,1024,1.064885139465332
Naive Algorithm,Random Characters,54,100kb,8,0.10119390487670898
Naive Algorithm,Random Characters,54,100kb,64,0.1010129451751709
Naive Algorithm,Random Characters,54,100kb,256,0.10159492492675781
Naive Algorithm,Random Characters,54,100kb,1024,0.10035300254821777
Naive Algorithm,Code,114,39.6kb,2,0.04116201400756836
Naive Algorithm,Code,114,39.6kb,6,0.04047894477844238
Naive Algorithm,Code,114,39.6kb,6,0.04051780700683594
Naive Algorithm,Code,114,39.6kb,7,0.040823936462402344
Naive Algorithm,Code,114,268.4kb,2,0.2730898857116699
Naive Algorithm,Code,114,268.4kb,6,0.272003173828125
Naive Algorithm,Code,114,268.4kb,6,0.27639102935791016
Naive Algorithm,Code,114,268.4kb,7,0.2745380401611328
Morris-Pratt,DNA,4,1.6kb,8,0.001277923583984375
Morris-Pratt,DNA,4,1.6kb,64,0.0013599395751953125
Morris-Pratt,DNA,4,1.6kb,256,0.0015120506286621094
Morris-Pratt,DNA,4,1.6kb,1024,0.0022499561309814453
Morris-Pratt,DNA,4,56.7kb,8,0.04626607894897461
Morris-Pratt,DNA,4,56.7kb,64,0.045944929122924805
